Rapid Ronin Transactions,Fast Ronin Transactions,Standard Ronin Transactions,Slow Ronin Transactions,Rapid Deposit ETH,Fast Deposit ETH,Standard Deposit ETH,Slow Deposit ETH,Rapid Withdraw ETH,Fast Withdraw ETH,Standard Withdraw ETH,Slow Withdraw ETH,Rapid Deposit AXS,Fast Deposit AXS,Standard Deposit AXS,Slow Deposit AXS,Rapid Withdraw AXS,Fast Withdraw AXS,Standard Withdraw AXS,Slow Withdraw AXS,Rapid Deposit SLP,Fast Deposit SLP,Standard Deposit SLP,Slow Deposit SLP,Rapid Withdraw SLP,Fast Withdraw SLP,Standard Withdraw SLP,Slow Withdraw SLP,Rapid Ethereum: Send ETH,Fast Ethereum: Send ETH,Standard Ethereum: Send ETH,Slow Ethereum: Send ETH,Rapid Ethereum: Send AXS,Fast Ethereum: Send AXS,Standard Ethereum: Send AXS,Slow Ethereum: Send AXS,Rapid Ethereum: Send SLP,Fast Ethereum: Send SLP,Standard Ethereum: Send SLP,Slow Ethereum: Send SLP,DT_HR
$0,$0,$0,$0,$48.32,$36.92,$36.37,$36.37,$61.07,$46.66,$45.98,$45.98,$42.88,$32.76,$32.28,$32.28,$54.29,$41.48,$40.87,$40.87,$42.87,$32.75,$32.27,$32.27,$56.78,$43.38,$42.74,$42.74,$6.2,$4.73,$4.66,$4.66,$10.49,$8.02,$7.9,$7.9,$10.95,$8.36,$8.24,$8.24,24/08/2021 09:58:33
$0,$0,$0,$0,$48.34,$33.27,$32.73,$32.73,$61.1,$42.06,$41.37,$41.37,$42.9,$29.53,$29.04,$29.04,$54.31,$37.39,$36.77,$36.77,$42.89,$29.52,$29.04,$29.04,$56.8,$39.1,$38.46,$38.46,$6.2,$4.27,$4.2,$4.2,$10.5,$7.23,$7.11,$7.11,$10.95,$7.54,$7.41,$7.41,24/08/2021 09:59:39
$0,$0,$0,$0,$48.38,$33.7,$33.16,$33.16,$61.15,$42.6,$41.91,$41.91,$42.93,$29.91,$29.42,$29.42,$54.36,$37.87,$37.26,$37.26,$42.92,$29.9,$29.42,$29.42,$56.85,$39.6,$38.96,$38.96,$6.2,$4.32,$4.25,$4.25,$10.51,$7.32,$7.2,$7.2,$10.96,$7.63,$7.51,$7.51,24/08/2021 10:00:45
$0,$0,$0,$0,$27.72,$25,$24.45,$24.45,$35.04,$31.61,$30.91,$30.91,$24.6,$22.19,$21.7,$21.7,$31.15,$28.1,$27.48,$27.48,$24.59,$22.18,$21.69,$21.69,$32.58,$29.38,$28.74,$28.74,$3.56,$3.21,$3.14,$3.14,$6.02,$5.43,$5.31,$5.31,$6.28,$5.66,$5.54,$5.54,24/08/2021 10:01:51
$0,$0,$0,$0,$36.38,$27.82,$26.95,$26.95,$45.98,$35.16,$34.07,$34.07,$32.28,$24.68,$23.92,$23.92,$40.88,$31.25,$30.28,$30.28,$32.28,$24.68,$23.91,$23.91,$42.75,$32.69,$31.67,$31.67,$4.67,$3.57,$3.46,$3.46,$7.9,$6.04,$5.85,$5.85,$8.24,$6.3,$6.11,$6.11,24/08/2021 10:02:56
$0,$0,$0,$0,$42.37,$38.77,$38.22,$38.22,$53.56,$49,$48.31,$48.31,$37.6,$34.4,$33.92,$33.92,$47.61,$43.56,$42.95,$42.95,$37.59,$34.39,$33.91,$33.91,$49.79,$45.55,$44.92,$44.92,$5.43,$4.97,$4.9,$4.9,$9.2,$8.42,$8.3,$8.3,$9.6,$8.78,$8.66,$8.66,24/08/2021 10:04:02
$0,$0,$0,$0,$40.16,$30.93,$30.39,$30.39,$50.77,$39.1,$38.41,$38.41,$35.64,$27.45,$26.97,$26.97,$45.13,$34.76,$34.15,$34.15,$35.63,$27.44,$26.96,$26.96,$47.2,$36.35,$35.71,$35.71,$5.15,$3.97,$3.9,$3.9,$8.72,$6.72,$6.6,$6.6,$9.1,$7.01,$6.88,$6.88,24/08/2021 10:05:08
$0,$0,$0,$0,$45.47,$37.15,$36.34,$36.34,$57.47,$46.96,$45.93,$45.93,$40.35,$32.97,$32.24,$32.24,$51.09,$41.74,$40.83,$40.83,$40.34,$32.96,$32.24,$32.24,$53.43,$43.65,$42.7,$42.7,$5.83,$4.76,$4.66,$4.66,$9.88,$8.07,$7.89,$7.89,$10.3,$8.42,$8.23,$8.23,24/08/2021 10:06:13
$0,$0,$0,$0,$53.11,$44.44,$43.9,$43.9,$67.14,$56.18,$55.49,$55.49,$47.13,$39.44,$38.96,$38.96,$59.68,$49.94,$49.33,$49.33,$47.12,$39.43,$38.95,$38.95,$62.42,$52.23,$51.59,$51.59,$6.81,$5.7,$5.63,$5.63,$11.54,$9.65,$9.53,$9.53,$12.03,$10.07,$9.95,$9.95,24/08/2021 10:07:19
$0,$0,$0,$0,$55.77,$47.58,$47.04,$47.04,$70.49,$60.14,$59.45,$59.45,$49.49,$42.22,$41.74,$41.74,$62.66,$53.46,$52.85,$52.85,$49.48,$42.21,$41.73,$41.73,$65.54,$55.91,$55.27,$55.27,$7.15,$6.1,$6.03,$6.03,$12.11,$10.33,$10.22,$10.22,$12.63,$10.78,$10.66,$10.66,24/08/2021 10:08:25
$0,$0,$0,$0,$52.74,$47.1,$46.56,$46.56,$66.67,$59.54,$58.85,$58.85,$46.81,$41.8,$41.32,$41.32,$59.26,$52.92,$52.31,$52.31,$46.79,$41.79,$41.31,$41.31,$61.98,$55.35,$54.71,$54.71,$6.76,$6.04,$5.97,$5.97,$11.46,$10.23,$10.11,$10.11,$11.95,$10.67,$10.55,$10.55,24/08/2021 10:09:31
$0,$0,$0,$0,$60.62,$45.48,$44.94,$44.94,$76.62,$57.48,$56.8,$56.8,$53.79,$40.36,$39.88,$39.88,$68.11,$51.1,$50.49,$50.49,$53.78,$40.35,$39.87,$39.87,$71.23,$53.44,$52.81,$52.81,$7.77,$5.83,$5.76,$5.76,$13.17,$9.88,$9.76,$9.76,$13.73,$10.3,$10.18,$10.18,24/08/2021 10:10:37
$0,$0,$0,$0,$50.89,$38.66,$35.73,$35.73,$64.33,$48.86,$45.17,$45.17,$45.16,$34.31,$31.71,$31.71,$57.18,$43.44,$40.15,$40.15,$45.15,$34.3,$31.7,$31.7,$59.81,$45.43,$41.99,$41.99,$6.53,$4.96,$4.58,$4.58,$11.05,$8.4,$7.76,$7.76,$11.53,$8.76,$8.1,$8.1,24/08/2021 10:11:43
$0,$0,$0,$0,$57.96,$51.46,$50.92,$50.92,$73.26,$65.04,$64.36,$64.36,$51.43,$45.67,$45.18,$45.18,$65.12,$57.82,$57.21,$57.21,$51.42,$45.65,$45.17,$45.17,$68.11,$60.47,$59.83,$59.83,$7.43,$6.6,$6.53,$6.53,$12.59,$11.18,$11.06,$11.06,$13.13,$11.66,$11.54,$11.54,24/08/2021 10:12:48
$0,$0,$0,$0,$56.48,$48.68,$47.82,$47.82,$71.39,$61.53,$60.45,$60.45,$50.12,$43.2,$42.44,$42.44,$63.46,$54.7,$53.73,$53.73,$50.11,$43.19,$42.43,$42.43,$66.37,$57.2,$56.2,$56.2,$7.24,$6.24,$6.13,$6.13,$12.27,$10.57,$10.39,$10.39,$12.79,$11.03,$10.83,$10.83,24/08/2021 10:13:53
$0,$0,$0,$0,$55.18,$40.87,$40.33,$40.33,$69.75,$51.66,$50.98,$50.98,$48.97,$36.27,$35.79,$35.79,$62,$45.93,$45.32,$45.32,$48.96,$36.26,$35.78,$35.78,$64.85,$48.03,$47.4,$47.4,$7.08,$5.24,$5.17,$5.17,$11.99,$8.88,$8.76,$8.76,$12.5,$9.26,$9.14,$9.14,24/08/2021 10:14:59
$0,$0,$0,$0,$66.02,$45.74,$45.19,$45.19,$83.45,$57.81,$57.13,$57.13,$58.59,$40.59,$40.11,$40.11,$74.18,$51.39,$50.78,$50.78,$58.57,$40.58,$40.1,$40.1,$77.59,$53.74,$53.11,$53.11,$8.47,$5.87,$5.8,$5.8,$14.34,$9.93,$9.82,$9.82,$14.96,$10.36,$10.24,$10.24,24/08/2021 10:16:05
$0,$0,$0,$0,$67.08,$56.15,$55.61,$55.61,$84.79,$70.97,$70.29,$70.29,$59.53,$49.83,$49.35,$49.35,$75.37,$63.09,$62.48,$62.48,$59.51,$49.81,$49.33,$49.33,$78.83,$65.98,$65.35,$65.35,$8.6,$7.2,$7.13,$7.13,$14.57,$12.2,$12.08,$12.08,$15.2,$12.72,$12.6,$12.6,24/08/2021 10:17:12
$0,$0,$0,$0,$57.83,$47.92,$47.38,$47.38,$73.1,$60.57,$59.89,$59.89,$51.32,$42.53,$42.05,$42.05,$64.98,$53.85,$53.24,$53.24,$51.31,$42.52,$42.04,$42.04,$67.96,$56.31,$55.68,$55.68,$7.42,$6.15,$6.08,$6.08,$12.56,$10.41,$10.29,$10.29,$13.1,$10.86,$10.73,$10.73,24/08/2021 10:18:18
$0,$0,$0,$0,$51.43,$39.54,$39,$39,$65.01,$49.98,$49.3,$49.3,$45.64,$35.09,$34.61,$34.61,$57.79,$44.43,$43.82,$43.82,$45.63,$35.08,$34.6,$34.6,$60.44,$46.47,$45.83,$45.83,$6.6,$5.07,$5,$5,$11.17,$8.59,$8.47,$8.47,$11.65,$8.96,$8.84,$8.84,24/08/2021 10:19:23
$0,$0,$0,$0,$43.57,$32.91,$32.37,$32.37,$55.07,$41.6,$40.91,$40.91,$38.67,$29.2,$28.72,$28.72,$48.96,$36.98,$36.37,$36.37,$38.66,$29.2,$28.72,$28.72,$51.2,$38.67,$38.04,$38.04,$5.59,$4.22,$4.15,$4.15,$9.46,$7.15,$7.03,$7.03,$9.87,$7.46,$7.33,$7.33,24/08/2021 10:20:29
$0,$0,$0,$0,$47.03,$37.02,$36.22,$36.22,$59.44,$46.79,$45.78,$45.78,$41.73,$32.85,$32.14,$32.14,$52.84,$41.59,$40.69,$40.69,$41.72,$32.84,$32.13,$32.13,$55.26,$43.5,$42.56,$42.56,$6.03,$4.75,$4.64,$4.64,$10.21,$8.04,$7.87,$7.87,$10.65,$8.39,$8.2,$8.2,24/08/2021 10:21:35
$0,$0,$0,$0,$35.14,$31.36,$30.81,$30.81,$44.42,$39.63,$38.95,$38.95,$31.18,$27.83,$27.35,$27.35,$39.48,$35.23,$34.62,$34.62,$31.18,$27.82,$27.34,$27.34,$41.29,$36.85,$36.21,$36.21,$4.51,$4.02,$3.95,$3.95,$7.63,$6.81,$6.69,$6.69,$7.96,$7.1,$6.98,$6.98,24/08/2021 10:22:41
$0,$0,$0,$0,$44.61,$32.27,$31.73,$31.73,$56.39,$40.79,$40.11,$40.11,$39.59,$28.64,$28.16,$28.16,$50.13,$36.26,$35.66,$35.66,$39.58,$28.63,$28.15,$28.15,$52.42,$37.92,$37.29,$37.29,$5.72,$4.14,$4.07,$4.07,$9.69,$7.01,$6.89,$6.89,$10.11,$7.31,$7.19,$7.19,24/08/2021 10:23:47
$0,$0,$0,$0,$56.84,$38.82,$37.74,$37.74,$71.85,$49.06,$47.7,$47.7,$50.44,$34.45,$33.49,$33.49,$63.87,$43.61,$42.4,$42.4,$50.43,$34.44,$33.48,$33.48,$66.8,$45.61,$44.35,$44.35,$7.29,$4.98,$4.84,$4.84,$12.35,$8.43,$8.2,$8.2,$12.88,$8.79,$8.55,$8.55,24/08/2021 10:24:53
$0,$0,$0,$0,$32.88,$30.48,$29.94,$29.94,$41.56,$38.52,$37.84,$37.84,$29.17,$27.05,$26.57,$26.57,$36.94,$34.25,$33.64,$33.64,$29.17,$27.04,$26.56,$26.56,$38.63,$35.81,$35.18,$35.18,$4.22,$3.91,$3.84,$3.84,$7.14,$6.62,$6.5,$6.5,$7.45,$6.9,$6.78,$6.78,24/08/2021 10:25:59
$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,24/08/2021 10:27:04
$0,$0,$0,$0,$42.58,$31.64,$31.1,$31.1,$53.83,$39.99,$39.31,$39.31,$37.79,$28.07,$27.6,$27.6,$47.85,$35.55,$34.94,$34.94,$37.78,$28.07,$27.59,$27.59,$50.04,$37.18,$36.54,$36.54,$5.46,$4.06,$3.99,$3.99,$9.25,$6.87,$6.75,$6.75,$9.65,$7.17,$7.04,$7.04,24/08/2021 10:28:10
$0,$0,$0,$0,$26.4,$25.19,$24.65,$24.65,$33.36,$31.84,$31.16,$31.16,$23.42,$22.36,$21.88,$21.88,$29.66,$28.31,$27.7,$27.7,$23.42,$22.35,$21.87,$21.87,$31.02,$29.6,$28.97,$28.97,$3.38,$3.23,$3.16,$3.16,$5.73,$5.47,$5.35,$5.35,$5.98,$5.71,$5.59,$5.59,24/08/2021 10:29:16
$0,$0,$0,$0,$30.66,$29.42,$28.46,$28.46,$38.76,$37.18,$35.97,$35.97,$27.21,$26.1,$25.26,$25.26,$34.45,$33.05,$31.98,$31.98,$27.2,$26.1,$25.25,$25.25,$36.03,$34.57,$33.44,$33.44,$3.93,$3.77,$3.65,$3.65,$6.66,$6.39,$6.18,$6.18,$6.95,$6.66,$6.45,$6.45,24/08/2021 10:30:22
$0,$0,$0,$0,$49.49,$38.14,$37.61,$37.61,$62.56,$48.21,$47.53,$47.53,$43.92,$33.85,$33.37,$33.37,$55.61,$42.86,$42.26,$42.26,$43.91,$33.84,$33.36,$33.36,$58.16,$44.82,$44.19,$44.19,$6.35,$4.89,$4.82,$4.82,$10.75,$8.28,$8.17,$8.17,$11.21,$8.64,$8.52,$8.52,24/08/2021 10:31:28
$0,$0,$0,$0,$53.76,$47.28,$46.75,$46.75,$67.95,$59.76,$59.09,$59.09,$47.7,$41.96,$41.49,$41.49,$60.4,$53.13,$52.53,$52.53,$47.69,$41.95,$41.48,$41.48,$63.17,$55.56,$54.94,$54.94,$6.89,$6.06,$6,$6,$11.68,$10.27,$10.15,$10.15,$12.18,$10.71,$10.59,$10.59,24/08/2021 12:12:53
$0,$0,$0,$0,$52.98,$37.12,$36.59,$36.59,$66.97,$46.92,$46.25,$46.25,$47.02,$32.94,$32.47,$32.47,$59.53,$41.71,$41.11,$41.11,$47,$32.93,$32.46,$32.46,$62.26,$43.62,$43,$43,$6.79,$4.76,$4.69,$4.69,$11.51,$8.06,$7.95,$7.95,$12,$8.41,$8.29,$8.29,24/08/2021 12:13:58
$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,24/08/2021 12:15:03
$0,$0,$0,$0,$56.69,$34.97,$34.44,$34.44,$71.65,$44.2,$43.53,$43.53,$50.31,$31.03,$30.56,$30.56,$63.7,$39.29,$38.69,$38.69,$50.29,$31.02,$30.55,$30.55,$66.62,$41.09,$40.47,$40.47,$7.27,$4.48,$4.42,$4.42,$12.31,$7.59,$7.48,$7.48,$12.84,$7.92,$7.8,$7.8,24/08/2021 12:16:09
$0,$0,$0,$0,$52.41,$36.53,$36,$36,$66.24,$46.17,$45.5,$45.5,$46.51,$32.41,$31.94,$31.94,$58.89,$41.04,$40.45,$40.45,$46.49,$32.41,$31.94,$31.94,$61.58,$42.92,$42.3,$42.3,$6.72,$4.68,$4.62,$4.62,$11.38,$7.93,$7.82,$7.82,$11.87,$8.27,$8.15,$8.15,24/08/2021 12:17:15
$0,$0,$0,$0,$45.06,$33.93,$33.4,$33.4,$56.96,$42.89,$42.22,$42.22,$39.99,$30.11,$29.64,$29.64,$50.64,$38.13,$37.53,$37.53,$39.98,$30.1,$29.63,$29.63,$52.96,$39.87,$39.25,$39.25,$5.78,$4.35,$4.28,$4.28,$9.79,$7.37,$7.25,$7.25,$10.21,$7.69,$7.57,$7.57,24/08/2021 12:18:24
$0,$0,$0,$0,$45.53,$34.31,$33.35,$33.35,$57.55,$43.36,$42.16,$42.16,$40.4,$30.44,$29.6,$29.6,$51.16,$38.55,$37.48,$37.48,$40.39,$30.44,$29.59,$29.59,$53.5,$40.31,$39.19,$39.19,$5.84,$4.4,$4.28,$4.28,$9.89,$7.45,$7.24,$7.24,$10.31,$7.77,$7.56,$7.56,24/08/2021 12:19:30
$0,$0,$0,$0,$44.47,$31.18,$30.65,$30.65,$56.22,$39.41,$38.74,$38.74,$39.47,$27.67,$27.2,$27.2,$49.97,$35.04,$34.44,$34.44,$39.46,$27.66,$27.19,$27.19,$52.26,$36.64,$36.02,$36.02,$5.7,$4,$3.93,$3.93,$9.66,$6.77,$6.66,$6.66,$10.08,$7.06,$6.94,$6.94,24/08/2021 12:20:35
$0,$0,$0,$0,$47.18,$33.33,$32.8,$32.8,$59.63,$42.13,$41.46,$41.46,$41.87,$29.58,$29.11,$29.11,$53.01,$37.45,$36.86,$36.86,$41.85,$29.57,$29.1,$29.1,$55.44,$39.17,$38.55,$38.55,$6.05,$4.27,$4.21,$4.21,$10.25,$7.24,$7.12,$7.12,$10.69,$7.55,$7.43,$7.43,24/08/2021 12:21:40
$0,$0,$0,$0,$48.71,$35.62,$34.71,$34.71,$61.57,$45.03,$43.88,$43.88,$43.22,$31.61,$30.8,$30.8,$54.73,$40.03,$39,$39,$43.21,$31.61,$30.8,$30.8,$57.24,$41.86,$40.79,$40.79,$6.25,$4.57,$4.45,$4.45,$10.58,$7.74,$7.54,$7.54,$11.03,$8.07,$7.86,$7.86,24/08/2021 12:22:45
$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,$NaN,24/08/2021 12:23:51
$0,$0,$0,$0,$56.1,$44.93,$44.41,$44.41,$70.91,$56.8,$56.13,$56.13,$49.78,$39.88,$39.41,$39.41,$63.03,$50.49,$49.89,$49.89,$49.77,$39.87,$39.4,$39.4,$65.92,$52.8,$52.18,$52.18,$7.19,$5.76,$5.69,$5.69,$12.18,$9.76,$9.64,$9.64,$12.71,$10.18,$10.06,$10.06,24/08/2021 12:24:57
$0,$0,$0,$0,$64.04,$56.95,$56.42,$56.42,$80.95,$71.99,$71.32,$71.32,$56.83,$50.54,$50.07,$50.07,$71.96,$63.99,$63.4,$63.4,$56.82,$50.53,$50.06,$50.06,$75.26,$66.93,$66.3,$66.3,$8.21,$7.3,$7.24,$7.24,$13.91,$12.37,$12.25,$12.25,$14.51,$12.9,$12.78,$12.78,24/08/2021 12:26:03
$0,$0,$0,$0,$64.66,$49.57,$49.04,$49.04,$81.73,$62.66,$61.99,$61.99,$57.38,$43.99,$43.52,$43.52,$72.65,$55.7,$55.1,$55.1,$57.37,$43.98,$43.51,$43.51,$75.98,$58.25,$57.63,$57.63,$8.29,$6.36,$6.29,$6.29,$14.04,$10.77,$10.65,$10.65,$14.65,$11.23,$11.11,$11.11,24/08/2021 12:27:10
$0,$0,$0,$0,$52.44,$43.77,$43.24,$43.24,$66.29,$55.33,$54.66,$54.66,$46.54,$38.84,$38.37,$38.37,$58.93,$49.18,$48.59,$48.59,$46.53,$38.83,$38.36,$38.36,$61.63,$51.44,$50.82,$50.82,$6.73,$5.61,$5.55,$5.55,$11.39,$9.51,$9.39,$9.39,$11.88,$9.92,$9.8,$9.8,24/08/2021 12:28:15
$0,$0,$0,$0,$51.98,$43.47,$42.94,$42.94,$65.7,$54.94,$54.27,$54.27,$46.13,$38.57,$38.1,$38.1,$58.4,$48.84,$48.24,$48.24,$46.11,$38.56,$38.09,$38.09,$61.08,$51.08,$50.46,$50.46,$6.67,$5.57,$5.51,$5.51,$11.29,$9.44,$9.33,$9.33,$11.78,$9.85,$9.73,$9.73,24/08/2021 12:29:21
$0,$0,$0,$0,$48.79,$39.77,$39.24,$39.24,$61.67,$50.27,$49.6,$49.6,$43.3,$35.3,$34.83,$34.83,$54.82,$44.69,$44.09,$44.09,$43.29,$35.29,$34.82,$34.82,$57.33,$46.74,$46.12,$46.12,$6.26,$5.1,$5.03,$5.03,$10.6,$8.64,$8.52,$8.52,$11.05,$9.01,$8.89,$8.89,24/08/2021 12:30:26
$0,$0,$0,$0,$50.11,$42.42,$41.89,$41.89,$63.34,$53.62,$52.95,$52.95,$44.47,$37.64,$37.17,$37.17,$56.31,$47.66,$47.07,$47.07,$44.46,$37.63,$37.16,$37.16,$58.89,$49.85,$49.22,$49.22,$6.43,$5.44,$5.37,$5.37,$10.88,$9.21,$9.1,$9.1,$11.35,$9.61,$9.49,$9.49,24/08/2021 12:31:31
$0,$0,$0,$0,$49.27,$35.65,$35.12,$35.12,$62.27,$45.06,$44.39,$44.39,$43.72,$31.63,$31.16,$31.16,$55.36,$40.05,$39.46,$39.46,$43.71,$31.62,$31.15,$31.15,$57.9,$41.89,$41.27,$41.27,$6.32,$4.57,$4.5,$4.5,$10.7,$7.74,$7.63,$7.63,$11.16,$8.08,$7.96,$7.96,24/08/2021 12:32:37
$0,$0,$0,$0,$44.96,$28.56,$28.03,$28.03,$56.83,$36.1,$35.44,$35.44,$39.9,$25.35,$24.88,$24.88,$50.52,$32.09,$31.5,$31.5,$39.89,$25.34,$24.87,$24.87,$52.83,$33.57,$32.94,$32.94,$5.77,$3.66,$3.6,$3.6,$9.77,$6.2,$6.09,$6.09,$10.19,$6.47,$6.35,$6.35,24/08/2021 12:33:43
$0,$0,$0,$0,$40.18,$28.22,$27.16,$27.16,$50.79,$35.67,$34.33,$34.33,$35.65,$25.04,$24.1,$24.1,$45.14,$31.71,$30.52,$30.52,$35.65,$25.04,$24.1,$24.1,$47.21,$33.16,$31.92,$31.92,$5.15,$3.62,$3.48,$3.48,$8.73,$6.13,$5.9,$5.9,$9.1,$6.39,$6.15,$6.15,24/08/2021 12:34:49
$0,$0,$0,$0,$36.59,$28.54,$27.72,$27.72,$46.25,$36.07,$35.04,$35.04,$32.47,$25.32,$24.6,$24.6,$41.11,$32.06,$31.15,$31.15,$32.46,$25.32,$24.6,$24.6,$42.99,$33.53,$32.58,$32.58,$4.69,$3.66,$3.56,$3.56,$7.95,$6.2,$6.02,$6.02,$8.29,$6.46,$6.28,$6.28,24/08/2021 12:35:54
